date,centre_name,commodity_name,price
2001-01-09,DELHI,Cabbage,20
2001-01-09,MUMBAI,Cabbage,18
2001-01-10,DELHI,Cabbage,12
2001-01-13,DELHI,Cabbage,16
2001-01-13,MUMBAI,Cabbage,12
2001-01-13,KOLKATA,Cabbage,8
2001-01-14,DELHI,Cabbage,22
2001-01-14,MUMBAI,Cabbage,29
2001-02-10,DELHI,Cabbage,12
2001-02-10,MUMBAI,Cabbage,18
2001-02-11,DELHI,Cabbage,12
2001-02-12,DELHI,Cabbage,14
2001-02-12,MUMBAI,Cabbage,15
2001-02-13,DELHI,Cabbage,12
2001-02-13,MUMBAI,Cabbage,14
2001-02-13,KOLKATA,Cabbage,9
2001-03-11,DELHI,Cabbage,11
2001-03-12,DELHI,Cabbage,17
2001-03-12,MUMBAI,Cabbage,18
2001-03-13,DELHI,Cabbage,14
2001-03-13,MUMBAI,Cabbage,15
2001-03-13,KOLKATA,Cabbage,7
2001-04-09,DELHI,Cabbage,9
2001-04-09,MUMBAI,Cabbage,14
2001-04-10,DELHI,Cabbage,12
2001-04-11,DELHI,Cabbage,9
2001-04-13,DELHI,Cabbage,15
2001-04-13,MUMBAI,Cabbage,18
2001-04-13,KOLKATA,Cabbage,8
2001-05-09,DELHI,Cabbage,9
2001-05-09,MUMBAI,Cabbage,14
2001-05-12,DELHI,Cabbage,24
2001-05-13,DELHI,Cabbage,18
2001-06-09,DELHI,Cabbage,10
2001-06-09,MUMBAI,Cabbage,16
2001-06-10,DELHI,Cabbage,11
2001-06-11,DELHI,Cabbage,11
2001-06-12,DELHI,Cabbage,23
2001-06-12,MUMBAI,Cabbage,32
2001-07-09,DELHI,Cabbage,10
2001-07-09,MUMBAI,Cabbage,20
2001-07-10,DELHI,Cabbage,11
2001-07-11,DELHI,Cabbage,15
2001-07-11,MUMBAI,Cabbage,20
2001-07-13,DELHI,Cabbage,30
2001-07-13,MUMBAI,Cabbage,40
2001-07-13,KOLKATA,Cabbage,20
2001-08-11,DELHI,Cabbage,21
2001-08-11,MUMBAI,Cabbage,25
2001-08-12,DELHI,Cabbage,27
2001-08-12,MUMBAI,Cabbage,22
2001-08-12,KOLKATA,Cabbage,22
2001-08-13,DELHI,Cabbage,40
2001-08-13,MUMBAI,Cabbage,42
2001-08-13,KOLKATA,Cabbage,25
2001-09-09,DELHI,Cabbage,21
2001-09-09,MUMBAI,Cabbage,22
