date,centre_name,commodity_name,price
2001-01-01,DELHI,Onion,8
2001-01-01,MUMBAI,Onion,9
2001-01-01,KOLKATA,Onion,9
2001-01-02,DELHI,Onion,9
2001-01-02,MUMBAI,Onion,8.5
2001-01-02,KOLKATA,Onion,8
2001-01-03,DELHI,Onion,6.5
2001-01-03,MUMBAI,Onion,7
2001-01-03,KOLKATA,Onion,6
2001-01-04,DELHI,Onion,13
2001-01-04,MUMBAI,Onion,10.75
2001-01-04,KOLKATA,Onion,10
2001-01-08,DELHI,Onion,10
2001-01-08,MUMBAI,Onion,8
2001-01-08,KOLKATA,Onion,10
2001-01-09,DELHI,Onion,21
2001-01-09,MUMBAI,Onion,17
2001-01-09,KOLKATA,Onion,18
2001-01-10,DELHI,Onion,23
2001-01-10,MUMBAI,Onion,21
2001-01-10,KOLKATA,Onion,25
2001-01-13,DELHI,Onion,23
2001-01-13,MUMBAI,Onion,18
2001-01-13,KOLKATA,Onion,20
2001-01-14,DELHI,Onion,28
2001-01-14,MUMBAI,Onion,26
2001-01-15,DELHI,Onion,32
2001-01-15,MUMBAI,Onion,28
2001-02-01,DELHI,Onion,9
2001-02-01,MUMBAI,Onion,9
2001-02-01,KOLKATA,Onion,8
2001-02-02,DELHI,Onion,7
2001-02-02,MUMBAI,Onion,7
2001-02-02,KOLKATA,Onion,6
2001-02-05,DELHI,Onion,8.5
2001-02-05,MUMBAI,Onion,8
2001-02-05,KOLKATA,Onion,6
2001-02-06,DELHI,Onion,7
2001-02-06,MUMBAI,Onion,9
2001-02-06,KOLKATA,Onion,7
2001-02-07,DELHI,Onion,16
2001-02-07,MUMBAI,Onion,15
2001-02-07,KOLKATA,Onion,14
2001-02-08,DELHI,Onion,9
2001-02-08,MUMBAI,Onion,8
2001-02-08,KOLKATA,Onion,8
2001-02-10,DELHI,Onion,23
2001-02-10,MUMBAI,Onion,18
2001-02-10,KOLKATA,Onion,24
2001-02-11,DELHI,Onion,28
2001-02-11,MUMBAI,Onion,31
2001-02-11,KOLKATA,Onion,25
2001-02-12,DELHI,Onion,14
2001-02-12,MUMBAI,Onion,13
2001-02-12,KOLKATA,Onion,10
2001-02-13,DELHI,Onion,31
2001-02-13,MUMBAI,Onion,33
2001-02-13,KOLKATA,Onion,28
2001-03-01,DELHI,Onion,8
2001-03-01,MUMBAI,Onion,7
2001-03-01,KOLKATA,Onion,8
2001-03-02,DELHI,Onion,7
2001-03-02,MUMBAI,Onion,4.5
2001-03-02,KOLKATA,Onion,5
2001-03-04,DELHI,Onion,11
2001-03-04,MUMBAI,Onion,7
2001-03-04,KOLKATA,Onion,12
2001-03-05,DELHI,Onion,8
2001-03-05,MUMBAI,Onion,7
2001-03-05,KOLKATA,Onion,6
2001-03-06,DELHI,Onion,8
2001-03-06,MUMBAI,Onion,6
2001-03-06,KOLKATA,Onion,5
2001-03-07,DELHI,Onion,15
2001-03-07,MUMBAI,Onion,12
2001-03-07,KOLKATA,Onion,12
2001-03-11,DELHI,Onion,18
2001-03-11,MUMBAI,Onion,19
2001-03-11,KOLKATA,Onion,12
2001-03-12,DELHI,Onion,13
2001-03-12,MUMBAI,Onion,12
2001-03-12,KOLKATA,Onion,12
2001-03-13,DELHI,Onion,24
2001-03-13,MUMBAI,Onion,20
2001-03-13,KOLKATA,Onion,24
2001-04-02,DELHI,Onion,6
2001-04-02,MUMBAI,Onion,7
2001-04-02,KOLKATA,Onion,6
2001-04-03,DELHI,Onion,7
2001-04-03,MUMBAI,Onion,4.5
2001-04-03,KOLKATA,Onion,5.5
2001-04-04,DELHI,Onion,8
2001-04-04,MUMBAI,Onion,7.5
2001-04-04,KOLKATA,Onion,8
2001-04-05,DELHI,Onion,9
2001-04-05,MUMBAI,Onion,7.5
2001-04-05,KOLKATA,Onion,6
2001-04-08,DELHI,Onion,10
2001-04-08,MUMBAI,Onion,7
2001-04-08,KOLKATA,Onion,8
2001-04-09,DELHI,Onion,14
2001-04-09,MUMBAI,Onion,12
2001-04-09,KOLKATA,Onion,12
2001-04-10,DELHI,Onion,15
2001-04-10,MUMBAI,Onion,14
2001-04-10,KOLKATA,Onion,8
2001-04-11,DELHI,Onion,12
2001-04-11,MUMBAI,Onion,14
2001-04-11,KOLKATA,Onion,9
2001-04-13,DELHI,Onion,22
2001-04-13,MUMBAI,Onion,22
2001-04-13,KOLKATA,Onion,16
2001-04-14,DELHI,Onion,21
2001-04-14,MUMBAI,Onion,23
2001-04-14,KOLKATA,Onion,16
2001-04-15,DELHI,Onion,31
2001-04-15,MUMBAI,Onion,24
2001-04-15,KOLKATA,Onion,18
2001-05-01,DELHI,Onion,6
2001-05-01,MUMBAI,Onion,6
2001-05-01,KOLKATA,Onion,6.5
2001-05-02,DELHI,Onion,7
2001-05-02,MUMBAI,Onion,7
2001-05-02,KOLKATA,Onion,5
2001-05-03,DELHI,Onion,8
2001-05-03,MUMBAI,Onion,5.5
2001-05-03,KOLKATA,Onion,8
2001-05-06,DELHI,Onion,6
2001-05-06,MUMBAI,Onion,6
2001-05-06,KOLKATA,Onion,6
2001-05-07,DELHI,Onion,10
2001-05-07,MUMBAI,Onion,10
2001-05-07,KOLKATA,Onion,10
2001-05-08,DELHI,Onion,8
2001-05-08,MUMBAI,Onion,7
2001-05-08,KOLKATA,Onion,8
2001-05-09,DELHI,Onion,13
2001-05-09,MUMBAI,Onion,9
2001-05-09,KOLKATA,Onion,12
2001-05-12,DELHI,Onion,14
2001-05-13,DELHI,Onion,18
2001-05-14,DELHI,Onion,21
2001-06-01,DELHI,Onion,7
2001-06-01,MUMBAI,Onion,5.5
2001-06-01,KOLKATA,Onion,5
2001-06-04,DELHI,Onion,7
2001-06-04,MUMBAI,Onion,6
2001-06-04,KOLKATA,Onion,8
2001-06-05,DELHI,Onion,7.5
2001-06-05,MUMBAI,Onion,7
2001-06-05,KOLKATA,Onion,6
2001-06-06,DELHI,Onion,7
2001-06-06,MUMBAI,Onion,4
2001-06-06,KOLKATA,Onion,6
2001-06-07,DELHI,Onion,9
2001-06-07,MUMBAI,Onion,9
2001-06-07,KOLKATA,Onion,8
2001-06-09,DELHI,Onion,11
2001-06-09,MUMBAI,Onion,10
2001-06-09,KOLKATA,Onion,12
2001-06-10,DELHI,Onion,11
2001-06-10,MUMBAI,Onion,11
2001-06-10,KOLKATA,Onion,11
2001-06-11,DELHI,Onion,11
2001-06-11,MUMBAI,Onion,15
2001-06-11,KOLKATA,Onion,10
2001-06-12,DELHI,Onion,12
2001-06-12,MUMBAI,Onion,15
2001-07-02,DELHI,Onion,7
2001-07-02,MUMBAI,Onion,4.5
2001-07-02,KOLKATA,Onion,6
2001-07-03,DELHI,Onion,8.5
2001-07-03,MUMBAI,Onion,8
2001-07-03,KOLKATA,Onion,8
2001-07-04,DELHI,Onion,7
2001-07-04,MUMBAI,Onion,6.5
2001-07-04,KOLKATA,Onion,6
2001-07-05,DELHI,Onion,7.5
2001-07-05,MUMBAI,Onion,5.5
2001-07-05,KOLKATA,Onion,7
2001-07-08,DELHI,Onion,10
2001-07-08,MUMBAI,Onion,9
2001-07-08,KOLKATA,Onion,7
2001-07-09,DELHI,Onion,15
2001-07-09,MUMBAI,Onion,12
2001-07-09,KOLKATA,Onion,12
2001-07-10,DELHI,Onion,12
2001-07-10,MUMBAI,Onion,11
2001-07-10,KOLKATA,Onion,12
2001-07-11,DELHI,Onion,14
2001-07-11,MUMBAI,Onion,17
2001-07-11,KOLKATA,Onion,14
2001-07-13,DELHI,Onion,26
2001-07-13,MUMBAI,Onion,22
2001-07-13,KOLKATA,Onion,24
2001-07-14,DELHI,Onion,28
2001-07-14,MUMBAI,Onion,31
2001-07-14,KOLKATA,Onion,34
2001-08-01,DELHI,Onion,7
2001-08-01,MUMBAI,Onion,6.5
2001-08-01,KOLKATA,Onion,7
2001-08-02,DELHI,Onion,8
2001-08-02,MUMBAI,Onion,5.5
2001-08-02,KOLKATA,Onion,8
2001-08-03,DELHI,Onion,9
2001-08-03,MUMBAI,Onion,6.5
2001-08-03,KOLKATA,Onion,10
2001-08-05,DELHI,Onion,9
2001-08-05,MUMBAI,Onion,6
2001-08-05,KOLKATA,Onion,8
2001-08-06,DELHI,Onion,9
2001-08-06,MUMBAI,Onion,7
2001-08-06,KOLKATA,Onion,8
2001-08-07,DELHI,Onion,14
2001-08-07,MUMBAI,Onion,13
2001-08-07,KOLKATA,Onion,14
2001-08-08,DELHI,Onion,13
2001-08-08,MUMBAI,Onion,13
2001-08-08,KOLKATA,Onion,7
2001-08-11,DELHI,Onion,17
2001-08-11,MUMBAI,Onion,16
