date,centre_name,commodity_name,price
2001-01-09,DELHI,Tomato,34
2001-01-09,MUMBAI,Tomato,26
2001-01-10,DELHI,Tomato,13
2001-01-13,DELHI,Tomato,15
2001-01-13,MUMBAI,Tomato,17
2001-01-13,KOLKATA,Tomato,16
2001-01-14,DELHI,Tomato,30
2001-01-14,MUMBAI,Tomato,19
2001-01-15,DELHI,Tomato,36
2001-01-15,MUMBAI,Tomato,25
2001-02-10,DELHI,Tomato,22
2001-02-10,MUMBAI,Tomato,22
2001-02-11,DELHI,Tomato,21
2001-02-12,DELHI,Tomato,16
2001-02-12,MUMBAI,Tomato,15
2001-02-12,KOLKATA,Tomato,10
2001-02-13,DELHI,Tomato,15
2001-02-13,MUMBAI,Tomato,16
2001-02-13,KOLKATA,Tomato,10
2001-03-11,DELHI,Tomato,16
2001-03-12,DELHI,Tomato,17
2001-03-12,MUMBAI,Tomato,17
2001-03-12,KOLKATA,Tomato,10
2001-03-13,DELHI,Tomato,19
2001-03-13,MUMBAI,Tomato,16
2001-03-13,KOLKATA,Tomato,12
2001-04-09,DELHI,Tomato,10
2001-04-09,MUMBAI,Tomato,9
2001-04-10,DELHI,Tomato,16
2001-04-11,DELHI,Tomato,18
2001-04-13,DELHI,Tomato,20
2001-04-13,MUMBAI,Tomato,16
2001-04-13,KOLKATA,Tomato,12
2001-04-14,DELHI,Tomato,20
2001-04-14,MUMBAI,Tomato,22
2001-04-14,KOLKATA,Tomato,14
2001-04-15,DELHI,Tomato,33
2001-04-15,MUMBAI,Tomato,24
2001-04-15,KOLKATA,Tomato,20
2001-05-09,DELHI,Tomato,11
2001-05-09,MUMBAI,Tomato,9
2001-05-12,DELHI,Tomato,22
2001-05-13,DELHI,Tomato,25
2001-05-14,DELHI,Tomato,22
2001-06-09,DELHI,Tomato,11
2001-06-09,MUMBAI,Tomato,15
2001-06-10,DELHI,Tomato,15
2001-06-11,DELHI,Tomato,10
2001-06-11,MUMBAI,Tomato,17
2001-06-11,KOLKATA,Tomato,16
2001-06-12,DELHI,Tomato,19
2001-06-12,MUMBAI,Tomato,26
2001-07-09,DELHI,Tomato,19
2001-07-09,MUMBAI,Tomato,20
2001-07-10,DELHI,Tomato,24
2001-07-11,DELHI,Tomato,36
2001-07-11,MUMBAI,Tomato,19
2001-07-11,KOLKATA,Tomato,25
2001-07-13,DELHI,Tomato,48
2001-07-13,MUMBAI,Tomato,56
2001-07-13,KOLKATA,Tomato,60
2001-07-14,DELHI,Tomato,19
2001-07-14,MUMBAI,Tomato,22
2001-07-14,KOLKATA,Tomato,30
2001-08-11,DELHI,Tomato,19
2001-08-11,MUMBAI,Tomato,18
2001-08-11,KOLKATA,Tomato,24
2001-08-12,DELHI,Tomato,30
